Name,Country,Years active,Proven victims,Possible victims,Notes
Jack Owen Spillman,United States,1994–1995,3,,"Known as ""The Werewolf Butcher""; killed two girls and the mother of one of them in Washington State in 1994 and 1995."
Scott Williams,United States,1997–2006,3,,Killed and mutilated three women between 1997 and 2006. Sentenced to life.
Juan Covington,United States,1998–2005,3,,Shot and killed 3 people.[393]
Matthew James Harris,Australia,1998,3,,"Strangled a friend's brother, a female friend and a male neighbour to death over five weeks in 1998 in Wagga Wagga."
Yukio Yamaji,Japan,2000–2005,3,,"Murdered his own mother in 2000, and then murdered a 27-year-old woman and her 19-year-old sister in 2005.[394]"
Hiroshi Maeue,Japan,2005,3,,"Called the ""Suicide Website Murderer"" for finding his victims in an online suicide community. Maeue offered to painlessly kill themselves together by charcoal burning in a car, but once together he strangled them with his bare hands instead, as this excited him sexually. Hanged in 2009."
António Luís Costa,Portugal,2005–2006,3,,"Ex-soldier, suffocated three women (and mutilated the first one) in Santa Comba Dao."
Özgür Dengiz,Turkey,2007,3,,"Known as ""The Cannibal of Ankara"" for eating one of his victims; a third victim survived. Interned in a mental institution after his conviction to two life sentences was overturned."
Mario Alberto Sulú Canché,Mexico,2007–2008,3,,Killed 3 women from 2007 to 2008; later committing suicide by hanging in prison.
Joanna Dennehy,United Kingdom,2013,3,,"Carried out the Peterborough ditch murders. Over a period of two weeks, murdered her landlord and two of her house mates by stabbing them. With the help of accomplices she dumped the bodies in ditches, then attempted to kill two strangers in broad daylight by stabbing them. Given whole life tariff on 28 February 2014."
Kimberly McCarthy,United States,1988–1997,3,,"Executed for murdering her neighbour, 71-year-old Dorothy Booth; DNA evidence proved she had murdered two other elderly women, but she was never charged."
Larry Hall,United States,1980–1994,2,50+,"Hall traveled around the American Midwest as part of his interest in historical reenactments, which he would also use as a cover for stalking, raping, and murdering teenage girls. It is believed his first murders were committed when he was 18 years old. Although he was convicted of kidnapping 15-year-old Jessica Roach, Hall has never been charged with murder. Authorities have tied 15 murders to Hall, though only been able to confirm two, he has admitted to (and recanted) committing 39, though the FBI believes he could have committed as many as 50 in at least three states.[395]"
Alejandro Máynez,Mexico,1980s–1990s,2,50+,"Killed at least two women in Ciudad Juárez, but believed to be 50. Supposedly, along with Ana Benavides and Melchor Máynez."
Billy Gohl,United States,1901–1913,2,40–140+,"Alleged to have killed from 40 to 140 seamen in Aberdeen, Washington"
Gerard John Schaefer,United States,1969–1973,2,30+,"Florida police officer who killed up to 34 women and girls. Stabbed to death by fellow inmate Vincent Faustino Rivera on December 3, 1995."
Macario Alcala Canchola,Mexico,1960–1962,2,12+,"Known as ""Mexican Jack""; convicted of the murders of two sex workers but suspected of at least twelve more murders."
Bruce Lindahl,United States,1974–1981,2,12+,Accidentally killed himself while stabbing one of his victims.
Robert Zarinsky,United States,1958–1974,2,10,Killed people between 1958 and 1974.
Ed Gein,United States[396],1954–1957,2,8,"Famous for his necrophiliac behaviours, as well as using/storing body parts of his victims to make household furniture, clothing and other miscellaneous household items."
José Luis Calva,Mexico,2007,2,8,Killed and cannibalized women. Hanged himself in prison after being convicted to 84 years for two murders.
Shirley Winters,United States,1979–2007,2,7,"Confessed in 2008 to killing 2 children (including her 5-month old son), 27 years apart. Plea agreement for those murders included clause stopping investigation of her role in a fire that killed 2 previous children in 1979. Is also a suspect in a separate fire that killed 3 children of a friend in 1979."
Richard Rogers,United States,1973–1993,2,7,"Rogers, a gay man, was convicted of two murders and implicated by forensics in two others. He was also suspected of murdering two other men, and was charged but acquitted for murdering a college student in 1973."
Rabidin Satir,Malaysia,2009–2012,2,6,"Nicknamed ""Rambo Bentong"". Rabidin had raped and murdered a 17-year-old schoolgirl Annie Kok Yin Cheng in March 2009 and battered 31-year-old forestry department employee Khairul Hazri Jamaludin to death in November 2012. Rabidin was convicted of both these murders and given two death sentences in 2014 and 2015 respectively. Rabidin was suspected of killing three to four more people: a nine-year-old girl, an elderly married couple in their 70s and a 63-year-old man between 2010 and 2012."
Castration serial murders,United States,1980–1986,2,5,"Unidentified perpetrator who kidnapped young men, castrated them and shot them in the back of the head. Forensics proved at least two of the victims were killed by the same person."
Steven Brian Pennell,United States,1987–1988,2,5,"Known as ""The Corridor Killer"" and ""The Route 40 Killer""; convicted of torture-murdering two women, pleaded no contest to two more and suspected of a fifth in Delaware in 1987 and 1988. Executed by lethal injection March 14, 1992."
Glen Rogers,United States,1995–1999,2,5,"His capture in Kentucky ended a nationwide manhunt that began with the ""Cross-Country Killer's"" crime spree that stretched from coast to coast and left four women and one man from five different states dead. Rogers was convicted and sentenced to death by electric chair in Florida in 1997 for the stabbing death of Tina Marie Cribbs. He was later convicted and given a second death penalty in California for the September 1995 murder of Sandra Gallagher. Also known as the ""Casanova Killer"", Rogers is the lone suspect in the stabbing deaths of two other women (Linda Price in Jackson, Mississippi and Andy Jiles Sutton in Bossier City, Louisiana), both of whom—like Cribbs and Gallagher—he'd met and befriended in bars. The earliest homicide Rogers is suspected of is that of an elderly Ohio man, Mark Peters, with whom Rogers had lived for a short time. In 1994, Peters' remains were discovered in a Rogers ""family cabin"" in Kentucky.[397]"
Mary Elizabeth Wilson,United Kingdom,1955–1957,2,4,"""The Merry Widow of Windy Nook"". Believed to have poisoned her four husbands in a period of only two years. Sentenced to death for two murders but changed to life in prison, where she died in 1963."
Bradley Edwards,Australia,1996–1997,2,3,Murders of two young women and the disappearance of a third in 1996 and 1997.
Hadden Clark,United States,1986–1992,2,2+,"Killed and cannibalized a 6-year-old victim and a 23-year-old victim, and confessed to the murder of an unidentified woman nicknamed Lady of the Dunes."
Gary M. Heidnik,United States,1986–1987,2,,"Kidnapped, tortured, raped and imprisoned six women in his Philadelphia, Pennsylvania basement, killing two."
Ronny Rieken,Germany,1996–1998,2,,Raped and killed two girls ages 11 and 13. He was caught as a result of mass DNA screening and sentenced to life imprisonment.
Johann Otto Hoch,United States  Austria (alleged)  France (alleged)  United Kingdom (alleged),1888–1905,1,50+,"Swindler who married several women under different aliases, most of whom died after a few months; others disappeared without a trace. Convicted of one murder by poisoning and hanged."
Carl Großmann,Germany,1918–1921,1,50+,"Known as ""The Berlin Butcher"". Killed women and sold their flesh on the black market. Only one body found. Hanged himself in his cell after being sentenced to death.[398]"
Sailson Jose das Gracas,Brazil,2005–2014,1,41,Claims to have murdered 41 people in a nine-year killing spree that started at the age of 17.[399]
Bobby Jack Fowler,United States  Canada,1969–1996,1,20,"One murder proven, suspected of up to 20 more. Suspect in the Highway of Tears murders.[400]"
Leszek Pękalski,Poland,1984–1992,1,17,"Called ""The Vampire of Bytów"". Charged with 17 murders but convicted of only one (to 25 years in prison) for faulty collection of evidence. During the investigation he admitted to killing 80 people but later retracted his confession."
Daniel Conahan,United States,1994–1996,1,12+,Convicted of one murder and has been linked to over a dozen murders.
Tillie Klimek,United States,1914–1921,1,6+,Chicago woman who poisoned her husbands; only convicted of the murder of her third husband. Sentenced to life imprisonment.
